playerOne,playerTwo,playerOneSeed,playerTwoSeed,winner,totalMoves,playerOneMs,playerTwoMs
random,minimax-d4-c-defensive,336542398,424462545,minimax-d4-c-defensive,10,0.0039000000000000003,14.457
minimax-d4-c-defensive,random,1142482589,1566155082,minimax-d4-c-defensive,9,8.7145,0.003
random,minimax-d4-c-defensive,1112098194,596020521,minimax-d4-c-defensive,10,0.0034000000000000002,9.647200000000002
minimax-d4-c-defensive,random,1678441328,416414953,minimax-d4-c-defensive,9,7.9538,0.0023000000000000004
random,minimax-d4-c-defensive,1615852536,1096310254,minimax-d4-c-defensive,16,0.0028,16.0774
minimax-d4-c-defensive,random,2143378414,1609486893,minimax-d4-c-defensive,9,10.781200000000002,0.0023
random,minimax-d4-c-defensive,330664011,225985366,minimax-d4-c-defensive,12,0.0034,13.2726
minimax-d4-c-defensive,random,68838875,206984329,minimax-d4-c-defensive,7,8.9127,0.0026999999999999997
random,minimax-d4-c-defensive,512789306,1462928351,minimax-d4-c-defensive,12,0.0029,18.0913
minimax-d4-c-defensive,random,1602152755,1059294965,minimax-d4-c-defensive,17,17.490000000000002,0.0046
random,minimax-d4-c-defensive,318821798,57638141,minimax-d4-c-defensive,12,0.0025,13.2164
minimax-d4-c-defensive,random,1659936502,1694646078,minimax-d4-c-defensive,9,15.380099999999999,0.0021
random,minimax-d4-c-defensive,37670381,1527644882,minimax-d4-c-defensive,14,0.0028,19.1138
minimax-d4-c-defensive,random,615022735,1085798706,minimax-d4-c-defensive,9,12.243099999999998,0.0025
random,minimax-d4-c-defensive,1745658374,1810291461,minimax-d4-c-defensive,12,0.0027999999999999995,14.4111
minimax-d4-c-defensive,random,2133373092,1843693089,minimax-d4-c-defensive,7,9.6261,0.0014
random,minimax-d4-c-defensive,1240627654,1688313179,minimax-d4-c-defensive,12,0.0026,12.238999999999999
minimax-d4-c-defensive,random,163136380,1722242516,minimax-d4-c-defensive,7,9.1211,0.0014
random,minimax-d4-c-defensive,2067022247,1696906384,minimax-d4-c-defensive,22,0.0033000000000000004,17.795099999999998
minimax-d4-c-defensive,random,1103073590,409586483,minimax-d4-c-defensive,7,6.744799999999999,0.0007
random,minimax-d4-c-defensive,811349245,1450734892,minimax-d4-c-defensive,12,0.0039,18.9032
minimax-d4-c-defensive,random,516945353,143612475,minimax-d4-c-defensive,7,9.0355,0.002
random,minimax-d4-c-defensive,1971966063,1096415301,minimax-d4-c-defensive,8,0.0018,7.969200000000001
minimax-d4-c-defensive,random,1216050466,695938988,minimax-d4-c-defensive,7,7.1334,0.001
random,minimax-d4-c-defensive,711127790,146692559,minimax-d4-c-defensive,20,0.0044,23.431199999999997
minimax-d4-c-defensive,random,201886572,842367418,minimax-d4-c-defensive,9,9.157,0.001
random,minimax-d4-c-defensive,700533164,492082499,minimax-d4-c-defensive,8,0.0015,7.418500000000001
minimax-d4-c-defensive,random,520682627,278904257,minimax-d4-c-defensive,7,6.4510000000000005,0.0007999999999999999
random,mcts-5k-c1-41421356237,912009690,1595320158,mcts-5k-c1-41421356237,18,0.0058,150.95360000000002
mcts-5k-c1-41421356237,random,1528484701,1731936959,mcts-5k-c1-41421356237,7,77.8395,0.0015999999999999999
random,mcts-5k-c1-41421356237,2128481433,592642622,mcts-5k-c1-41421356237,10,0.0031000000000000003,74.2945
mcts-5k-c1-41421356237,random,818240226,1953044722,mcts-5k-c1-41421356237,9,90.4519,0.0037999999999999996
random,mcts-5k-c1-41421356237,1110420809,299685325,mcts-5k-c1-41421356237,10,0.0021000000000000003,72.8823
mcts-5k-c1-41421356237,random,368859239,789834479,mcts-5k-c1-41421356237,7,59.9443,0.0014
random,mcts-5k-c1-41421356237,62848986,494080006,mcts-5k-c1-41421356237,12,0.0027,92.44409999999999
mcts-5k-c1-41421356237,random,287445729,963366569,mcts-5k-c1-41421356237,7,68.14349999999999,0.0014
random,mcts-5k-c1-41421356237,359854761,1192566272,mcts-5k-c1-41421356237,10,0.0029999999999999996,83.5098
mcts-5k-c1-41421356237,random,247945720,1015570553,mcts-5k-c1-41421356237,9,73.50619999999999,0.0021999999999999997
random,mcts-5k-c1-41421356237,1688176435,1516324027,mcts-5k-c1-41421356237,8,0.0028000000000000004,55.907300000000006
mcts-5k-c1-41421356237,random,1870163662,1088738727,mcts-5k-c1-41421356237,9,75.9889,0.0018
random,mcts-5k-c1-41421356237,311594416,2066567394,mcts-5k-c1-41421356237,12,0.0031,87.3477
mcts-5k-c1-41421356237,random,374670916,1598965815,mcts-5k-c1-41421356237,9,70.55109999999999,0.0021
random,mcts-5k-c1-41421356237,1608404889,1291005674,mcts-5k-c1-41421356237,10,0.0022,75.62689999999999
mcts-5k-c1-41421356237,random,1143159925,748545155,mcts-5k-c1-41421356237,7,53.45570000000001,0.0016
random,mcts-5k-c1-41421356237,1167630552,2031715770,mcts-5k-c1-41421356237,8,0.0022,64.7609
mcts-5k-c1-41421356237,random,810232826,471702089,mcts-5k-c1-41421356237,7,60.1271,0.0018999999999999998
random,mcts-5k-c1-41421356237,168421683,1518620278,mcts-5k-c1-41421356237,24,0.006700000000000001,174.2699
mcts-5k-c1-41421356237,random,428588697,218706623,mcts-5k-c1-41421356237,7,104.70760000000001,0.0032
random,mcts-5k-c1-41421356237,632494666,711384278,mcts-5k-c1-41421356237,10,0.0057,247.4634
mcts-5k-c1-41421356237,random,1180675313,1672280738,mcts-5k-c1-41421356237,7,190.7624,0.003
random,mcts-5k-c1-41421356237,727556062,426215987,mcts-5k-c1-41421356237,12,0.0056,246.1577
mcts-5k-c1-41421356237,random,633090002,217047784,mcts-5k-c1-41421356237,7,133.9263,0.004
random,mcts-5k-c1-41421356237,2006730477,1386003650,mcts-5k-c1-41421356237,12,0.0072,260.7361
mcts-5k-c1-41421356237,random,482512657,1655450539,mcts-5k-c1-41421356237,21,401.35799999999995,0.008899999999999998
random,mcts-5k-c1-41421356237,244136779,1652595721,mcts-5k-c1-41421356237,8,0.0038000000000000004,156.2846
mcts-5k-c1-41421356237,random,738211469,1543169310,mcts-5k-c1-41421356237,17,343.35459999999995,0.0077
random,mcts-5k-c1-41421356237,1872640143,439745974,mcts-5k-c1-41421356237,20,0.0157,430.94730000000004
mcts-5k-c1-41421356237,random,1420342543,61914039,mcts-5k-c1-41421356237,7,160.1837,0.003
random,mcts-5k-c1-41421356237,217971706,1366758058,mcts-5k-c1-41421356237,8,0.0049,151.4082
mcts-5k-c1-41421356237,random,344639833,1966898782,mcts-5k-c1-41421356237,11,239.0785,0.0045
random,mcts-5k-c1-41421356237,1304009047,1767797731,mcts-5k-c1-41421356237,20,0.009899999999999999,333.7794
mcts-5k-c1-41421356237,random,1769687574,178616863,mcts-5k-c1-41421356237,7,135.827,0.0021999999999999997
random,mcts-5k-c1-41421356237,1831330827,1963227287,mcts-5k-c1-41421356237,12,0.0063,249.49919999999997
mcts-5k-c1-41421356237,random,794944886,988718130,mcts-5k-c1-41421356237,7,128.4001,0.0031999999999999997
random,mcts-5k-c1-41421356237,763977575,29239097,mcts-5k-c1-41421356237,8,0.0037,174.0183
