positionNumber,stage,seed,chosenColumn,illegal,agreement,regret,resultPreserved,speedRegret,decisionMs,nodes
0,Beginning,0,4,False,True,0,True,0,255.1109,
0,Beginning,1,4,False,True,0,True,0,270.0021,
0,Beginning,2,4,False,True,0,True,0,228.1516,
0,Beginning,3,4,False,True,0,True,0,286.4819,
0,Beginning,4,4,False,True,0,True,0,262.4422,
1,Beginning,0,3,False,True,0,True,0,354.8976,
1,Beginning,1,3,False,True,0,True,0,358.6424,
1,Beginning,2,3,False,True,0,True,0,389.7183,
1,Beginning,3,3,False,True,0,True,0,430.9217,
1,Beginning,4,3,False,True,0,True,0,379.0057,
2,Beginning,0,5,False,True,0,True,0,378.8504,
2,Beginning,1,5,False,True,0,True,0,325.8394,
2,Beginning,2,5,False,True,0,True,0,346.2277,
2,Beginning,3,5,False,True,0,True,0,330.9556,
2,Beginning,4,5,False,True,0,True,0,356.4742,
3,Beginning,0,6,False,True,0,True,0,437.6001,
3,Beginning,1,6,False,True,0,True,0,403.6381,
3,Beginning,2,6,False,True,0,True,0,439.7617,
3,Beginning,3,6,False,True,0,True,0,430.6648,
3,Beginning,4,6,False,True,0,True,0,450.1336,
4,Beginning,0,2,False,True,0,True,0,447.1881,
4,Beginning,1,2,False,True,0,True,0,481.6522,
4,Beginning,2,2,False,True,0,True,0,432.4822,
4,Beginning,3,2,False,True,0,True,0,458.4668,
4,Beginning,4,2,False,True,0,True,0,460.7978,
5,Beginning,0,4,False,True,0,True,0,237.7606,
5,Beginning,1,4,False,True,0,True,0,223.7325,
5,Beginning,2,4,False,True,0,True,0,228.8079,
5,Beginning,3,4,False,True,0,True,0,233.2579,
5,Beginning,4,4,False,True,0,True,0,213.3219,
6,Beginning,0,3,False,False,2,False,,475.2875,
6,Beginning,1,3,False,False,2,False,,455.5432,
6,Beginning,2,3,False,False,2,False,,462.6766,
6,Beginning,3,3,False,False,2,False,,458.6513,
6,Beginning,4,3,False,False,2,False,,454.1643,
7,Beginning,0,4,False,True,0,True,0,152.1709,
7,Beginning,1,4,False,True,0,True,0,147.6409,
7,Beginning,2,4,False,True,0,True,0,148.96,
7,Beginning,3,4,False,True,0,True,0,139.9568,
7,Beginning,4,4,False,True,0,True,0,141.667,
8,Beginning,0,2,False,True,0,True,0,297.1102,
8,Beginning,1,2,False,True,0,True,0,322.6958,
8,Beginning,2,2,False,True,0,True,0,336.8456,
8,Beginning,3,2,False,True,0,True,0,333.668,
8,Beginning,4,2,False,True,0,True,0,349.25,
9,Beginning,0,3,False,False,1,True,1,406.2981,
9,Beginning,1,3,False,False,1,True,1,422.6333,
9,Beginning,2,3,False,False,1,True,1,423.3381,
9,Beginning,3,3,False,False,1,True,1,419.4823,
