positionNumber,stage,seed,chosenColumn,illegal,agreement,regret,resultPreserved,speedRegret,decisionMs,nodes
0,Beginning,2891,4,False,True,0,True,0,71.0161,40558
1,Beginning,2891,3,False,True,0,True,0,47.1724,24600
2,Beginning,2891,5,False,True,0,True,0,73.4856,39391
3,Beginning,2891,6,False,True,0,True,0,1763.0161,826479
4,Beginning,2891,1,False,False,1,True,1,396.6487,190678
5,Beginning,2891,4,False,True,0,True,0,162.2716,94465
6,Beginning,2891,3,False,False,2,False,,187.545,94770
7,Beginning,2891,4,False,True,0,True,0,178.7275,96647
8,Beginning,2891,2,False,True,0,True,0,58.9792,33985
9,Beginning,2891,3,False,False,1,True,1,529.3861,300150
10,Beginning,2891,3,False,True,0,True,0,192.5399,99974
11,Beginning,2891,3,False,True,0,True,0,96.9604,56858
12,Beginning,2891,3,False,False,2,True,2,101.132,55613
13,Beginning,2891,2,False,True,0,True,0,145.3875,84321
14,Beginning,2891,4,False,True,0,True,0,99.3593,53278
15,Beginning,2891,3,False,True,0,True,0,89.2294,46561
16,Beginning,2891,2,False,False,11,False,,53.4145,35193
17,Beginning,2891,5,False,True,0,True,0,101.041,62167
18,Beginning,2891,1,False,False,4,False,,123.0717,76127
19,Beginning,2891,4,False,True,0,True,0,192.8055,109124
20,Beginning,2891,2,False,True,0,True,0,60.3435,40059
21,Beginning,2891,4,False,True,0,True,0,295.6678,147130
22,Beginning,2891,3,False,True,0,True,0,57.4298,27408
23,Beginning,2891,3,False,True,0,True,0,63.6709,36502
24,Beginning,2891,3,False,True,0,True,0,217.0333,109248
25,Beginning,2891,4,False,True,0,True,0,91.9495,55296
26,Beginning,2891,3,False,True,0,True,0,103.6991,56312
27,Beginning,2891,3,False,True,0,True,0,175.1747,95158
28,Beginning,2891,3,False,True,0,True,0,50.417,26523
29,Beginning,2891,3,False,True,0,True,0,52.3097,27690
30,Beginning,2891,1,False,True,0,True,0,165.7167,94236
31,Beginning,2891,4,False,True,0,True,0,267.2459,127840
32,Beginning,2891,5,False,True,0,True,0,178.4356,93395
33,Beginning,2891,4,False,True,0,True,0,154.8721,73740
34,Beginning,2891,3,False,True,0,True,0,1129.1714,502642
35,Beginning,2891,3,False,False,2,False,,241.7368,112305
36,Beginning,2891,3,False,False,2,True,2,1033.6341,293643
37,Beginning,2891,2,False,True,0,True,0,161.6687,48371
38,Beginning,2891,4,False,True,0,True,0,223.3618,77067
39,Beginning,2891,3,False,True,0,True,0,207.6944,62838
40,Beginning,2891,6,False,True,0,True,0,543.8629,184100
41,Beginning,2891,5,False,False,5,False,,174.3098,65804
42,Beginning,2891,4,False,False,1,True,1,313.3396,130255
43,Beginning,2891,3,False,True,0,True,0,131.5756,61335
44,Beginning,2891,2,False,True,0,True,0,122.3168,46544
45,Beginning,2891,2,False,False,4,True,4,246.9431,64220
46,Beginning,2891,2,False,True,0,True,0,566.2606,153110
47,Beginning,2891,3,False,True,0,True,0,749.0682,228644
48,Beginning,2891,3,False,True,0,True,0,44.9744,21904
49,Beginning,2891,2,False,False,4,False,,1521.2582,527461
50,Beginning,2891,3,False,True,0,True,0,225.3951,118307
51,Beginning,2891,2,False,True,0,True,0,312.8718,110569
52,Beginning,2891,4,False,False,1,True,1,527.979,195622
53,Beginning,2891,3,False,True,0,True,0,170.074,68290
54,Beginning,2891,3,False,True,0,True,0,313.8266,88806
55,Beginning,2891,1,False,True,0,True,0,125.3667,50761
56,Beginning,2891,5,False,True,0,True,0,432.4837,182123
57,Beginning,2891,4,False,False,2,True,2,255.5454,131076
58,Beginning,2891,5,False,True,0,True,0,561.8552,243910
59,Beginning,2891,1,False,False,2,False,,418.2463,172578
60,Beginning,2891,0,False,False,2,False,,1214.0873,379605
61,Beginning,2891,2,False,True,0,True,0,216.9416,109042
62,Beginning,2891,4,False,True,0,True,0,155.4855,86995
63,Beginning,2891,3,False,True,0,True,0,88.5268,39284
64,Beginning,2891,4,False,False,1,True,1,261.2057,94599
65,Beginning,2891,6,False,True,0,True,0,188.9398,94134
66,Beginning,2891,3,False,True,0,True,0,161.0184,52267
67,Beginning,2891,3,False,True,0,True,0,122.2119,56650
68,Beginning,2891,3,False,True,0,True,0,136.3943,47684
69,Beginning,2891,1,False,True,0,True,0,485.5678,183841
70,Beginning,2891,1,False,False,7,False,,371.2859,148087
71,Beginning,2891,5,False,False,1,False,,274.2393,84956
72,Beginning,2891,2,False,True,0,True,0,205.1691,100778
73,Beginning,2891,3,False,False,6,False,,175.0396,76841
74,Beginning,2891,3,False,True,0,True,0,108.2042,61589
75,Beginning,2891,2,False,True,0,True,0,145.2466,63904
76,Beginning,2891,2,False,True,0,True,0,505.3684,211557
77,Beginning,2891,3,False,True,0,True,0,124.4193,63332
78,Beginning,2891,3,False,True,0,True,0,109.5027,54775
79,Beginning,2891,4,False,True,0,True,0,70.465,32004
80,Beginning,2891,2,False,True,0,True,0,511.1454,195802
81,Beginning,2891,4,False,True,0,True,0,217.7628,100803
82,Beginning,2891,3,False,True,0,True,0,104.3966,40890
83,Beginning,2891,4,False,True,0,True,0,209.6813,82880
84,Beginning,2891,2,False,True,0,True,0,268.8458,119595
85,Beginning,2891,6,False,True,0,True,0,903.5485,399597
86,Beginning,2891,1,False,True,0,True,0,97.8641,52109
87,Beginning,2891,6,False,False,4,False,,356.5622,147835
88,Beginning,2891,6,False,True,0,True,0,132.1901,57762
89,Beginning,2891,3,False,True,0,True,0,162.8577,68529
90,Beginning,2891,2,False,True,0,True,0,575.7838,245538
91,Beginning,2891,4,False,True,0,True,0,29.3104,22242
92,Beginning,2891,6,False,True,0,True,0,223.0786,122049
93,Beginning,2891,2,False,False,9,False,,191.0452,102732
94,Beginning,2891,3,False,True,0,True,0,175.6105,73364
95,Beginning,2891,2,False,True,0,True,0,995.576,430888
96,Beginning,2891,2,False,True,0,True,0,319.1221,120919
97,Beginning,2891,3,False,True,0,True,0,535.3788,234825
98,Beginning,2891,3,False,True,0,True,0,350.6208,163006
99,Beginning,2891,2,False,True,0,True,0,284.8445,139490
100,Beginning,2891,3,False,True,0,True,0,379.195,136828
101,Beginning,2891,5,False,True,0,True,0,145.9478,68467
102,Beginning,2891,2,False,True,0,True,0,451.9131,186706
103,Beginning,2891,3,False,True,0,True,0,264.6621,106275
104,Beginning,2891,3,False,True,0,True,0,310.0466,139462
105,Beginning,2891,3,False,True,0,True,0,48.3084,18841
106,Beginning,2891,3,False,True,0,True,0,300.896,111665
107,Beginning,2891,3,False,True,0,True,0,169.3429,72795
108,Beginning,2891,3,False,True,0,True,0,113.8309,58374
109,Beginning,2891,1,False,True,0,True,0,401.5045,158361
110,Beginning,2891,3,False,True,0,True,0,466.7022,156972
111,Beginning,2891,2,False,True,0,True,0,861.3365,348874
112,Beginning,2891,3,False,True,0,True,0,122.1874,33453
113,Beginning,2891,2,False,False,1,True,1,681.884,221012
114,Beginning,2891,5,False,True,0,True,0,496.8242,126971
115,Beginning,2891,2,False,True,0,True,0,601.5293,132201
116,Beginning,2891,2,False,True,0,True,0,373.1881,82181
117,Beginning,2891,3,False,False,1,True,1,636.1321,140719
118,Beginning,2891,3,False,True,0,True,0,341.1168,77799
119,Beginning,2891,4,False,True,0,True,0,70.2328,22755
120,Beginning,2891,3,False,True,0,True,0,207.8721,54021
121,Beginning,2891,3,False,True,0,True,0,85.5713,22104
122,Beginning,2891,3,False,True,0,True,0,343.0186,93868
123,Beginning,2891,2,False,True,0,True,0,245.54,80129
124,Beginning,2891,3,False,False,1,True,1,462.2392,137506
125,Beginning,2891,2,False,False,3,False,,192.6228,62417
126,Beginning,2891,3,False,True,0,True,0,344.9708,115049
127,Beginning,2891,3,False,True,0,True,0,265.6524,63655
128,Beginning,2891,3,False,True,0,True,0,318.141,89664
129,Beginning,2891,3,False,False,2,False,,398.8006,109481
130,Beginning,2891,3,False,False,1,False,,451.8284,144916
131,Beginning,2891,6,False,True,0,True,0,898.0082,253505
132,Beginning,2891,3,False,True,0,True,0,134.5025,43212
133,Beginning,2891,4,False,True,0,True,0,495.2133,161362
134,Beginning,2891,4,False,True,0,True,0,302.483,94332
135,Beginning,2891,4,False,True,0,True,0,841.7103,252090
136,Beginning,2891,4,False,True,0,True,0,259.0553,94200
137,Beginning,2891,2,False,False,7,True,7,258.238,109562
138,Beginning,2891,2,False,True,0,True,0,170.7689,84675
139,Beginning,2891,4,False,True,0,True,0,60.0756,31121
140,Beginning,2891,4,False,False,5,False,,255.5926,95671
141,Beginning,2891,3,False,True,0,True,0,322.2997,118125
142,Beginning,2891,6,False,True,0,True,0,362.0332,151545
143,Beginning,2891,5,False,True,0,True,0,296.1812,121516
144,Beginning,2891,3,False,True,0,True,0,207.5651,84701
145,Beginning,2891,3,False,True,0,True,0,1307.643,445460
146,Beginning,2891,4,False,False,5,True,5,463.5894,171967
147,Beginning,2891,5,False,False,2,False,,1753.6588,751726
148,Beginning,2891,5,False,True,0,True,0,224.9825,109011
149,Beginning,2891,3,False,True,0,True,0,335.5634,164160
150,Beginning,2891,4,False,True,0,True,0,318.681,140134
151,Beginning,2891,3,False,True,0,True,0,28.6158,17206
152,Beginning,2891,5,False,True,0,True,0,358.5693,171645
153,Beginning,2891,2,False,False,1,True,1,375.7351,171346
154,Beginning,2891,5,False,True,0,True,0,917.5359,406421
155,Beginning,2891,4,False,True,0,True,0,123.1156,62528
156,Beginning,2891,5,False,True,0,True,0,449.4979,218445
157,Beginning,2891,3,False,True,0,True,0,52.6291,29042
158,Beginning,2891,1,False,True,0,True,0,147.5378,74636
159,Beginning,2891,0,False,True,0,True,0,768.9684,324337
160,Beginning,2891,2,False,True,0,True,0,351.0323,163211
161,Beginning,2891,2,False,True,0,True,0,640.9016,151587
162,Beginning,2891,3,False,False,1,True,1,291.4493,64962
163,Beginning,2891,4,False,True,0,True,0,618.1634,126713
164,Beginning,2891,3,False,True,0,True,0,153.3263,29378
165,Beginning,2891,5,False,True,0,True,0,486.7244,108589
166,Beginning,2891,3,False,True,0,True,0,222.4301,98958
167,Beginning,2891,4,False,True,0,True,0,759.11,258793
168,Beginning,2891,4,False,True,0,True,0,263.7288,122104
169,Beginning,2891,4,False,True,0,True,0,112.2358,48318
170,Beginning,2891,5,False,True,0,True,0,232.765,87650
171,Beginning,2891,3,False,True,0,True,0,336.7921,109653
172,Beginning,2891,2,False,True,0,True,0,238.8632,112658
173,Beginning,2891,3,False,True,0,True,0,691.5908,254941
174,Beginning,2891,1,False,True,0,True,0,134.8128,54134
175,Beginning,2891,1,False,True,0,True,0,604.1795,236677
176,Beginning,2891,3,False,False,1,True,1,155.7754,54699
177,Beginning,2891,4,False,True,0,True,0,446.0775,152033
178,Beginning,2891,3,False,False,1,True,1,492.9491,191719
179,Beginning,2891,4,False,False,2,False,,499.5944,188252
180,Beginning,2891,1,False,True,0,True,0,35.2603,26428
181,Beginning,2891,2,False,True,0,True,0,363.1888,145634
182,Beginning,2891,3,False,True,0,True,0,158.5267,63241
183,Beginning,2891,2,False,True,0,True,0,282.2927,130284
184,Beginning,2891,1,False,False,3,False,,839.2206,263666
185,Beginning,2891,6,False,True,0,True,0,335.6067,130899
186,Beginning,2891,2,False,True,0,True,0,337.1715,105517
187,Beginning,2891,2,False,True,0,True,0,325.2777,121682
188,Beginning,2891,3,False,True,0,True,0,435.1919,147776
189,Beginning,2891,6,False,True,0,True,0,221.6365,110498
190,Beginning,2891,5,False,True,0,True,0,263.2552,116975
191,Beginning,2891,1,False,False,5,False,,180.8508,72283
192,Beginning,2891,5,False,True,0,True,0,583.2072,224813
193,Beginning,2891,4,False,True,0,True,0,61.0263,29591
194,Beginning,2891,5,False,True,0,True,0,532.2983,177518
195,Beginning,2891,3,False,True,0,True,0,892.6506,308481
196,Beginning,2891,3,False,True,0,True,0,245.5049,93389
197,Beginning,2891,4,False,True,0,True,0,257.0296,111134
198,Beginning,2891,1,False,True,0,True,0,3249.0267,542241
199,Beginning,2891,1,False,True,0,True,0,1264.0727,199634
200,Beginning,2891,1,False,False,5,False,,467.882,85216
201,Beginning,2891,3,False,True,0,True,0,355.56,62321
202,Beginning,2891,4,False,True,0,True,0,212.2801,33281
203,Beginning,2891,0,False,True,0,True,0,4202.0589,605754
204,Beginning,2891,3,False,True,0,True,0,71.5651,11927
205,Beginning,2891,5,False,True,0,True,0,1537.0088,245822
206,Beginning,2891,3,False,True,0,True,0,382.7337,66581
207,Beginning,2891,4,False,False,1,False,,1438.9215,221016
208,Beginning,2891,4,False,False,2,True,2,1109.4494,192919
209,Beginning,2891,6,False,False,2,True,2,994.0527,255541
210,Middle,2891,3,False,True,0,True,0,594.798,110234
211,Middle,2891,2,False,False,1,False,,288.9872,59800
212,Middle,2891,2,False,True,0,True,0,48.7819,11764
213,Middle,2891,1,False,True,0,True,0,131.8709,25652
214,Middle,2891,2,False,True,0,True,0,10.699,2999
215,Middle,2891,2,False,True,0,True,0,234.5601,40526
216,Middle,2891,4,False,False,8,False,,941.3813,161943
217,Middle,2891,2,False,True,0,True,0,144.7922,26220
218,Middle,2891,2,False,False,1,True,1,105.5033,18811
219,Middle,2891,3,False,False,2,False,,5.4972,1644
220,Middle,2891,5,False,True,0,True,0,129.5175,24287
221,Middle,2891,3,False,True,0,True,0,15.7808,4637
222,Middle,2891,3,False,True,0,True,0,51.024,11642
223,Middle,2891,2,False,True,0,True,0,613.7989,111082
224,Middle,2891,4,False,True,0,True,0,63.229,13417
225,Middle,2891,2,False,True,0,True,0,25.9376,5568
226,Middle,2891,4,False,True,0,True,0,111.8527,22603
227,Middle,2891,0,False,True,0,True,0,76.9598,21707
228,Middle,2891,6,False,True,0,True,0,0.3419,1204
229,Middle,2891,3,False,True,0,True,0,18.3694,2656
230,Middle,2891,4,False,True,0,True,0,116.8797,18667
231,Middle,2891,3,False,True,0,True,0,145.1972,23588
232,Middle,2891,4,False,True,0,True,0,113.386,22331
233,Middle,2891,4,False,True,0,True,0,11.8337,4164
234,Middle,2891,3,False,True,0,True,0,707.3266,113166
235,Middle,2891,5,False,True,0,True,0,15.8653,4472
236,Middle,2891,3,False,True,0,True,0,0.1007,315
237,Middle,2891,2,False,True,0,True,0,479.0466,89370
238,Middle,2891,5,False,True,0,True,0,143.417,27179
239,Middle,2891,6,False,True,0,True,0,414.2595,93865
240,Middle,2891,2,False,False,3,False,,122.3729,22380
241,Middle,2891,3,False,True,0,True,0,149.2383,27463
242,Middle,2891,3,False,True,0,True,0,281.498,58348
243,Middle,2891,2,False,True,0,True,0,578.1004,109808
244,Middle,2891,1,False,True,0,True,0,60.014,12569
245,Middle,2891,4,False,True,0,True,0,477.0405,80432
246,Middle,2891,2,False,True,0,True,0,2.1478,1261
247,Middle,2891,2,False,True,0,True,0,271.5352,50562
248,Middle,2891,3,False,True,0,True,0,12.7259,3445
249,Middle,2891,3,False,True,0,True,0,18.6455,4098
250,Middle,2891,3,False,False,3,True,3,404.8082,70722
251,Middle,2891,6,False,True,0,True,0,411.5384,78798
252,Middle,2891,6,False,True,0,True,0,127.9025,31558
253,Middle,2891,4,False,True,0,True,0,15.8616,5280
254,Middle,2891,2,False,True,0,True,0,242.3116,47514
255,Middle,2891,2,False,True,0,True,0,123.5453,27746
256,Middle,2891,3,False,True,0,True,0,378.9069,63183
257,Middle,2891,1,False,True,0,True,0,72.8509,14392
258,Middle,2891,5,False,True,0,True,0,77.5997,14986
259,Middle,2891,2,False,True,0,True,0,189.9308,37130
260,Middle,2891,3,False,True,0,True,0,1.601,536
261,Middle,2891,3,False,True,0,True,0,209.8296,42372
262,Middle,2891,3,False,True,0,True,0,85.2763,15462
263,Middle,2891,2,False,True,0,True,0,12.633,3075
264,Middle,2891,3,False,True,0,True,0,98.0964,20247
265,Middle,2891,2,False,False,2,False,,1354.6308,240596
266,Middle,2891,3,False,True,0,True,0,350.8609,54746
267,Middle,2891,4,False,True,0,True,0,259.2979,43816
268,Middle,2891,5,False,True,0,True,0,17.8538,4284
