positionNumber,stage,seed,chosenColumn,illegal,agreement,regret,resultPreserved,speedRegret,decisionMs,nodes
0,Beginning,0,4,False,True,0,True,0,57.4789,
0,Beginning,1,4,False,True,0,True,0,34.679,
0,Beginning,2,4,False,True,0,True,0,26.7603,
0,Beginning,3,4,False,True,0,True,0,28.6361,
0,Beginning,4,4,False,True,0,True,0,33.6828,
1,Beginning,0,3,False,True,0,True,0,51.6179,
1,Beginning,1,3,False,True,0,True,0,60.0425,
1,Beginning,2,3,False,True,0,True,0,45.2884,
1,Beginning,3,3,False,True,0,True,0,46.229,
1,Beginning,4,3,False,True,0,True,0,40.0395,
2,Beginning,0,5,False,True,0,True,0,35.7011,
2,Beginning,1,5,False,True,0,True,0,35.586,
2,Beginning,2,5,False,True,0,True,0,29.0993,
2,Beginning,3,5,False,True,0,True,0,36.7433,
2,Beginning,4,5,False,True,0,True,0,28.4946,
3,Beginning,0,6,False,True,0,True,0,45.046,
3,Beginning,1,6,False,True,0,True,0,47.2267,
3,Beginning,2,6,False,True,0,True,0,49.0543,
3,Beginning,3,6,False,True,0,True,0,46.91,
3,Beginning,4,6,False,True,0,True,0,48.3337,
4,Beginning,0,2,False,True,0,True,0,53.6513,
4,Beginning,1,2,False,True,0,True,0,52.3313,
4,Beginning,2,2,False,True,0,True,0,50.3883,
4,Beginning,3,2,False,True,0,True,0,47.3411,
4,Beginning,4,2,False,True,0,True,0,44.9914,
5,Beginning,0,2,False,True,0,True,0,33.4139,
5,Beginning,1,2,False,True,0,True,0,44.7157,
5,Beginning,2,4,False,True,0,True,0,27.5553,
5,Beginning,3,4,False,True,0,True,0,28.3223,
5,Beginning,4,4,False,True,0,True,0,31.6204,
6,Beginning,0,3,False,False,2,False,,62.2592,
6,Beginning,1,3,False,False,2,False,,47.4568,
6,Beginning,2,3,False,False,2,False,,51.625,
6,Beginning,3,3,False,False,2,False,,47.6224,
6,Beginning,4,3,False,False,2,False,,46.6559,
7,Beginning,0,4,False,True,0,True,0,19.2773,
7,Beginning,1,4,False,True,0,True,0,17.9974,
7,Beginning,2,4,False,True,0,True,0,19.6909,
7,Beginning,3,4,False,True,0,True,0,17.9889,
7,Beginning,4,4,False,True,0,True,0,20.5127,
8,Beginning,0,2,False,True,0,True,0,35.283,
8,Beginning,1,2,False,True,0,True,0,29.8235,
8,Beginning,2,2,False,True,0,True,0,32.5991,
8,Beginning,3,2,False,True,0,True,0,33.428,
8,Beginning,4,2,False,True,0,True,0,30.6822,
9,Beginning,0,2,False,False,2,True,2,33.7496,
9,Beginning,1,2,False,False,2,True,2,43.8588,
9,Beginning,2,3,False,False,1,True,1,43.0243,
9,Beginning,3,3,False,False,1,True,1,42.6728,
9,Beginning,4,3,False,False,1,True,1,42.578,
10,Beginning,0,3,False,True,0,True,0,42.8035,
