positionNumber,stage,seed,chosenColumn,illegal,agreement,regret,resultPreserved,speedRegret,decisionMs,nodes
0,Beginning,0,4,False,True,0,True,0,146.8137,
0,Beginning,1,4,False,True,0,True,0,116.9103,
0,Beginning,2,4,False,True,0,True,0,117.6616,
0,Beginning,3,4,False,True,0,True,0,125.5156,
0,Beginning,4,4,False,True,0,True,0,156.1115,
1,Beginning,0,3,False,True,0,True,0,188.417,
1,Beginning,1,3,False,True,0,True,0,174.7396,
1,Beginning,2,3,False,True,0,True,0,199.5135,
1,Beginning,3,3,False,True,0,True,0,198.6852,
1,Beginning,4,3,False,True,0,True,0,185.4836,
2,Beginning,0,5,False,True,0,True,0,164.1787,
2,Beginning,1,5,False,True,0,True,0,160.7375,
2,Beginning,2,5,False,True,0,True,0,151.7189,
2,Beginning,3,5,False,True,0,True,0,172.4363,
2,Beginning,4,5,False,True,0,True,0,160.6538,
3,Beginning,0,6,False,True,0,True,0,205.9598,
3,Beginning,1,6,False,True,0,True,0,183.9212,
3,Beginning,2,6,False,True,0,True,0,192.9734,
3,Beginning,3,6,False,True,0,True,0,196.7511,
3,Beginning,4,6,False,True,0,True,0,196.9298,
4,Beginning,0,2,False,True,0,True,0,226.6435,
4,Beginning,1,2,False,True,0,True,0,217.0897,
4,Beginning,2,2,False,True,0,True,0,208.334,
4,Beginning,3,2,False,True,0,True,0,225.9863,
4,Beginning,4,2,False,True,0,True,0,211.089,
5,Beginning,0,4,False,True,0,True,0,111.5766,
5,Beginning,1,4,False,True,0,True,0,152.4113,
5,Beginning,2,4,False,True,0,True,0,132.1979,
5,Beginning,3,4,False,True,0,True,0,124.7176,
5,Beginning,4,4,False,True,0,True,0,120.7881,
6,Beginning,0,3,False,False,2,False,,230.3008,
6,Beginning,1,3,False,False,2,False,,204.4858,
6,Beginning,2,3,False,False,2,False,,196.8017,
6,Beginning,3,3,False,False,2,False,,202.8271,
6,Beginning,4,3,False,False,2,False,,220.2734,
7,Beginning,0,4,False,True,0,True,0,88.2138,
7,Beginning,1,4,False,True,0,True,0,93.5168,
7,Beginning,2,4,False,True,0,True,0,92.9827,
7,Beginning,3,4,False,True,0,True,0,88.0627,
7,Beginning,4,4,False,True,0,True,0,101.2666,
8,Beginning,0,2,False,True,0,True,0,133.7532,
8,Beginning,1,2,False,True,0,True,0,140.9623,
8,Beginning,2,2,False,True,0,True,0,146.214,
8,Beginning,3,2,False,True,0,True,0,153.6278,
8,Beginning,4,2,False,True,0,True,0,164.1132,
9,Beginning,0,2,False,False,2,True,2,208.2787,
9,Beginning,1,2,False,False,2,True,2,191.7723,
9,Beginning,2,2,False,False,2,True,2,213.2572,
9,Beginning,3,2,False,False,2,True,2,189.0259,
9,Beginning,4,2,False,False,2,True,2,195.4128,
10,Beginning,0,3,False,True,0,True,0,209.7343,
10,Beginning,1,3,False,True,0,True,0,205.622,
10,Beginning,2,4,False,False,2,False,,195.744,
10,Beginning,3,3,False,True,0,True,0,210.994,
10,Beginning,4,3,False,True,0,True,0,184.2076,
11,Beginning,0,3,False,True,0,True,0,179.4293,
11,Beginning,1,3,False,True,0,True,0,175.3785,
11,Beginning,2,3,False,True,0,True,0,184.8322,
11,Beginning,3,3,False,True,0,True,0,168.4973,
11,Beginning,4,3,False,True,0,True,0,197.8818,
12,Beginning,0,3,False,False,2,True,2,190.1174,
12,Beginning,1,3,False,False,2,True,2,179.2099,
12,Beginning,2,3,False,False,2,True,2,167.7465,
12,Beginning,3,3,False,False,2,True,2,180.5254,
12,Beginning,4,3,False,False,2,True,2,142.3507,
13,Beginning,0,2,False,True,0,True,0,116.7933,
13,Beginning,1,2,False,True,0,True,0,93.6842,
13,Beginning,2,2,False,True,0,True,0,121.0343,
13,Beginning,3,2,False,True,0,True,0,99.5456,
13,Beginning,4,2,False,True,0,True,0,117.3878,
14,Beginning,0,3,False,False,2,False,,213.8608,
14,Beginning,1,3,False,False,2,False,,185.1804,
14,Beginning,2,3,False,False,2,False,,239.0808,
14,Beginning,3,3,False,False,2,False,,210.4674,
14,Beginning,4,3,False,False,2,False,,200.6238,
15,Beginning,0,3,False,True,0,True,0,148.6066,
15,Beginning,1,3,False,True,0,True,0,159.3936,
15,Beginning,2,3,False,True,0,True,0,168.8146,
15,Beginning,3,3,False,True,0,True,0,183.7169,
15,Beginning,4,3,False,True,0,True,0,173.6365,
16,Beginning,0,2,False,False,11,False,,132.0603,
16,Beginning,1,2,False,False,11,False,,127.4467,
16,Beginning,2,2,False,False,11,False,,118.0689,
16,Beginning,3,2,False,False,11,False,,118.2921,
16,Beginning,4,2,False,False,11,False,,148.4369,
17,Beginning,0,5,False,True,0,True,0,157.8078,
17,Beginning,1,5,False,True,0,True,0,127.5772,
17,Beginning,2,5,False,True,0,True,0,139.7385,
17,Beginning,3,5,False,True,0,True,0,148.8217,
17,Beginning,4,5,False,True,0,True,0,126.1517,
18,Beginning,0,2,False,True,0,True,0,175.2747,
18,Beginning,1,3,False,False,8,False,,172.8492,
18,Beginning,2,2,False,True,0,True,0,159.4763,
18,Beginning,3,2,False,True,0,True,0,199.7902,
18,Beginning,4,3,False,False,8,False,,180.3981,
19,Beginning,0,4,False,True,0,True,0,162.3985,
19,Beginning,1,4,False,True,0,True,0,157.8696,
19,Beginning,2,4,False,True,0,True,0,173.6039,
19,Beginning,3,4,False,True,0,True,0,171.3898,
19,Beginning,4,4,False,True,0,True,0,159.4395,
20,Beginning,0,2,False,True,0,True,0,103.2563,
20,Beginning,1,2,False,True,0,True,0,100.4186,
20,Beginning,2,2,False,True,0,True,0,107.9255,
20,Beginning,3,2,False,True,0,True,0,90.5068,
20,Beginning,4,2,False,True,0,True,0,91.9942,
21,Beginning,0,2,False,False,2,True,2,219.9198,
21,Beginning,1,2,False,False,2,True,2,223.5906,
21,Beginning,2,2,False,False,2,True,2,215.9148,
21,Beginning,3,2,False,False,2,True,2,208.9475,
21,Beginning,4,2,False,False,2,True,2,224.346,
22,Beginning,0,3,False,True,0,True,0,200.1319,
22,Beginning,1,3,False,True,0,True,0,197.0387,
22,Beginning,2,3,False,True,0,True,0,188.6316,
22,Beginning,3,3,False,True,0,True,0,174.6155,
22,Beginning,4,3,False,True,0,True,0,192.1345,
23,Beginning,0,3,False,True,0,True,0,134.4466,
23,Beginning,1,3,False,True,0,True,0,123.5284,
23,Beginning,2,3,False,True,0,True,0,165.1072,
23,Beginning,3,3,False,True,0,True,0,134.9644,
23,Beginning,4,3,False,True,0,True,0,132.1955,
24,Beginning,0,2,False,False,2,False,,183.6775,
24,Beginning,1,2,False,False,2,False,,192.092,
24,Beginning,2,2,False,False,2,False,,208.9249,
24,Beginning,3,2,False,False,2,False,,204.4409,
24,Beginning,4,2,False,False,2,False,,219.0073,
25,Beginning,0,4,False,True,0,True,0,94.9923,
25,Beginning,1,4,False,True,0,True,0,96.4238,
25,Beginning,2,4,False,True,0,True,0,114.3699,
25,Beginning,3,4,False,True,0,True,0,100.4493,
25,Beginning,4,4,False,True,0,True,0,94.1915,
26,Beginning,0,3,False,True,0,True,0,176.5727,
26,Beginning,1,3,False,True,0,True,0,175.2655,
26,Beginning,2,3,False,True,0,True,0,167.2695,
26,Beginning,3,3,False,True,0,True,0,166.4135,
26,Beginning,4,3,False,True,0,True,0,171.6089,
27,Beginning,0,4,False,True,0,True,0,123.2306,
27,Beginning,1,5,False,False,1,True,1,175.8503,
27,Beginning,2,4,False,True,0,True,0,144.2353,
27,Beginning,3,4,False,True,0,True,0,174.1261,
27,Beginning,4,5,False,False,1,True,1,126.9157,
28,Beginning,0,3,False,True,0,True,0,177.9638,
28,Beginning,1,3,False,True,0,True,0,185.8944,
28,Beginning,2,3,False,True,0,True,0,170.5764,
28,Beginning,3,3,False,True,0,True,0,175.3768,
28,Beginning,4,3,False,True,0,True,0,197.968,
29,Beginning,0,3,False,True,0,True,0,168.6069,
29,Beginning,1,3,False,True,0,True,0,170.552,
29,Beginning,2,3,False,True,0,True,0,150.3877,
29,Beginning,3,3,False,True,0,True,0,136.4001,
29,Beginning,4,3,False,True,0,True,0,155.9972,
30,Beginning,0,1,False,True,0,True,0,140.7985,
30,Beginning,1,1,False,True,0,True,0,147.3604,
30,Beginning,2,1,False,True,0,True,0,143.6839,
30,Beginning,3,1,False,True,0,True,0,146.0001,
30,Beginning,4,1,False,True,0,True,0,158.1353,
31,Beginning,0,4,False,True,0,True,0,161.6888,
31,Beginning,1,4,False,True,0,True,0,153.8618,
31,Beginning,2,4,False,True,0,True,0,133.0202,
31,Beginning,3,4,False,True,0,True,0,157.3906,
31,Beginning,4,4,False,True,0,True,0,139.4305,
32,Beginning,0,5,False,True,0,True,0,149.4596,
32,Beginning,1,5,False,True,0,True,0,130.2474,
32,Beginning,2,5,False,True,0,True,0,140.8374,
32,Beginning,3,5,False,True,0,True,0,142.7696,
32,Beginning,4,5,False,True,0,True,0,136.9277,
33,Beginning,0,3,False,True,0,True,0,215.3085,
33,Beginning,1,3,False,True,0,True,0,191.8823,
33,Beginning,2,3,False,True,0,True,0,198.1328,
33,Beginning,3,3,False,True,0,True,0,197.4374,
33,Beginning,4,3,False,True,0,True,0,231.7215,
34,Beginning,0,1,False,False,2,False,,197.8771,
34,Beginning,1,1,False,False,2,False,,175.1369,
34,Beginning,2,1,False,False,2,False,,164.6788,
34,Beginning,3,1,False,False,2,False,,142.2124,
